Radiant_Score,Dire_Score,Win,Radiant_Gold_Per_Minute_Per_Game,Radiant_XP_Per_Minute_Per_Game,Radiant_Lane_Efficient_Points_Per_Game,Radiant_Stuns_Per_Game,Radiant_Tower_Kills_Per_Game,Radiant_Actions_Per_Minute,Dire_Gold_Per_Minute_Per_Game,Dire_XP_Per_Minute_Per_Game,Dire_Lane_Efficient_Points_Per_Game,Dire_Stuns_Per_Game,Dire_Tower_Kills_Per_Game,Dire_Actions_Per_Minute
0,0,1,2243.54,2272.5099999999998,301.34,142.67000000000002,5.789999999999999,903.91,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2480.83,2449.55,307.1,145.61,6.6,1230.13,2516.4599999999996,2442.47,351.5,161.29,6.97,1158.6
33,15,0,2478.71,2469.85,323.64,151.33,7.2,987.2800000000001,2718.78,2548.84,369.48,116.41000000000001,7.39,997.61
0,0,0,2226.14,2115.45,287.15,180.35000000000002,5.8999999999999995,1082.02,2516.4599999999996,2442.47,351.5,161.29,6.97,1158.6
0,0,0,2474.27,2492.09,324.30000000000007,111.19999999999999,7.15,963.0900000000001,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,0,2318.8,2336.5800000000004,313.15000000000003,133.88,5.48,644.1800000000001,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2318.8,2336.5800000000004,313.15000000000003,133.88,5.4799999999999995,644.1800000000001,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
44,33,1,2478.71,2469.85,323.64,151.32999999999998,7.199999999999999,987.28,2718.78,2548.84,369.48,116.41000000000001,7.39,997.61
0,0,1,2429.35,2452.73,297.56000000000006,163.17999999999998,6.12,909.45,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2110.55,2100.08,277.66,179.34,5.62,769.55,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,0,2457.59,2393.39,284.46,125.59000000000002,5.66,1443.3999999999999,2649.58,2636.65,363.09000000000003,101.91999999999999,8.82,996.66
0,0,1,2527.31,2485.98,313.72,155.05,7.64,1073.25,2516.4599999999996,2442.47,351.5,161.29,6.97,1158.6
31,19,0,2373.32,2339.22,303.0,123.28,6.67,1056.71,2718.78,2548.84,369.48,116.41000000000001,7.39,997.61
