Match_ID,Team_ID,Radiant_Account_ID_0,Radiant_Account_ID_1,Radiant_Account_ID_2,Radiant_Account_ID_3,Radiant_Account_ID_4
4242152308,543897.0,91443418,87012746,87012746,91443418,113457795
4070674710,543897.0,84772440,91443418,89871557,91443418,84772440
3893314987,543897.0,84772440,89871557,84772440,91443418,91443418
3893222060,543897.0,91443418,91443418,84772440,84772440,89871557
3780274749,543897.0,91443418,84772440,89871557,91443418,84772440
3730518922,543897.0,84772440,89871557,91443418,91443418,84772440
3726781784,543897.0,91443418,84772440,91443418,89871557,84772440
3726652331,543897.0,84772440,84772440,89871557,91443418,91443418
3723158237,543897.0,84772440,84772440,91443418,89871557,91443418
3674668790,543897.0,89871557,84772440,91443418,91443418,84772440
3568795427,543897.0,89871557,84772440,91443418,84772440,91443418
3568669034,543897.0,84772440,84772440,91443418,91443418,89871557
3472632243,543897.0,84772440,91443418,89871557,91443418,84772440
3274394099,543897.0,115102590,91443418,91443418,89871557,89871557
3052509281,543897.0,91443418,91369376,115102590,91443418,91369376
3047649227,543897.0,91369376,91443418,91369376,115102590,91443418
2976515921,543897.0,91443418,115102590,91443418,91369376,91369376
2976385447,543897.0,91369376,115102590,91443418,91443418,91369376
2923325494,543897.0,115102590,91369376,91443418,91369376,91443418
2923213865,543897.0,91369376,91443418,91369376,91443418,115102590
2385553748,543897.0,113874152,113874152,184950344,132309493,132309493
2250413651,543897.0,132309493,132309493,113874152,113874152,173476224
2250311430,543897.0,132309493,173476224,113874152,113874152,132309493
2250206751,543897.0,132309493,113874152,113874152,132309493,173476224
2236452011,543897.0,173476224,184950344,132309493,132309493,184950344
2236104695,543897.0,132309493,184950344,173476224,132309493,184950344
2062547823,543897.0,115102590,115102590,132309493,132309493,184950344
2062486166,543897.0,115102590,115102590,132309493,184950344,132309493
2054157648,543897.0,132309493,115102590,184950344,115102590,132309493
1917767970,543897.0,173476224,115102590,115102590,132309493,132309493
1917575373,543897.0,184950344,132309493,173476224,184950344,132309493
1889087919,543897.0,132309493,115102590,115102590,132309493,184950344
1888858668,543897.0,115102590,184950344,132309493,115102590,132309493
1888544074,543897.0,115102590,132309493,132309493,115102590,184950344
3928462587,39.0,94155156,25907144,25907144,25907144,94155156
3698009748,39.0,25907144,25907144,111620041,25907144,111620041
3697932551,39.0,25907144,111620041,25907144,25907144,111620041
2549222661,39.0,85805514,111620041,85805514,111620041,111620041
3891541020,2006913.0,113372833,234699894,116881520,111030315,91460772
5159236429,1883502.0,134556694,134556694,134556694,86725175,134556694
4873193498,1883502.0,132851371,132851371,132851371,132851371,92423451
4506113548,1883502.0,132851371,92423451,132851371,132851371,132851371
4344416524,1883502.0,132851371,132851371,132851371,132851371,92423451
4344308027,1883502.0,132851371,132851371,92423451,132851371,132851371
4344197996,1883502.0,132851371,132851371,132851371,132851371,92423451
4063477071,1883502.0,92423451,132851371,132851371,132851371,132851371
3928102591,1883502.0,132851371,132851371,92423451,132851371,132851371
3928022579,1883502.0,132851371,132851371,92423451,132851371,132851371
3927969458,1883502.0,92423451,132851371,132851371,132851371,132851371
3818707653,1883502.0,132851371,132851371,92423451,132851371,132851371
3818623346,1883502.0,132851371,132851371,132851371,132851371,92423451
3768548189,1883502.0,92423451,132851371,132851371,132851371,132851371
3609753657,1883502.0,176184718,176184718,176184718,132851371,176184718
3609602443,1883502.0,176184718,176184718,132851371,176184718,176184718
3607291192,1883502.0,132851371,176184718,176184718,176184718,176184718
3138908078,1883502.0,132851371,132851371,132851371,92423451,132851371
3188202852,5.0,207829314,129958758,129958758,207829314,207829314
4148376503,1520578.0,186627166,173812218,186627166,186627166,173812218
5159122968,1838315.0,72312627,121769650,73562326,73562326,72312627
5159084329,1838315.0,73562326,72312627,72312627,121769650,73562326
4802631669,1838315.0,89117038,73562326,121769650,73562326,89117038
4066608591,1838315.0,89117038,86799300,86799300,97590558,89117038
3354031843,1838315.0,169025618,89117038,101450083,169025618,89117038
3019798451,1838315.0,101450083,169025618,169025618,101450083,6922000
1992093748,2413439.0,101525357,121052479,111034589,89268488,101525357
1987996464,2413439.0,101525357,111034589,101525357,89268488,121052479
1987917560,2413439.0,121052479,101525357,111034589,89268488,108383863
1858282173,2413439.0,108383863,89268488,111034589,89268488,121052479
1840094293,2413439.0,111034589,89268488,108383863,101525357,121052479
5432541889,350190.0,84772440,102099826,84772440,113457795,113457795
5432442394,350190.0,113457795,113457795,102099826,84772440,84772440
5380002642,350190.0,102099826,84772440,84772440,113457795,113457795
5379823961,350190.0,113457795,84772440,84772440,113457795,102099826
5377523995,350190.0,84772440,84772440,113457795,113457795,102099826
5365369339,350190.0,113457795,113457795,84772440,102099826,84772440
5139217248,350190.0,102099826,113457795,84772440,84772440,113457795
4598672775,350190.0,101450083,102099826,84772440,102099826,84772440
4598518833,350190.0,84772440,84772440,102099826,102099826,101450083
4242053960,350190.0,102099826,84772440,84772440,101450083,102099826
4241988057,350190.0,84772440,102099826,102099826,101450083,84772440
4241918915,350190.0,84772440,102099826,84772440,102099826,101450083
4129149098,350190.0,84772440,102099826,101450083,84772440,102099826
4128607771,350190.0,84772440,102099826,101450083,84772440,102099826
3970454002,350190.0,102099826,154715080,87276347,102099826,87276347
3966581710,350190.0,102099826,87276347,87276347,102099826,154715080
3847039727,350190.0,87276347,102099826,154715080,102099826,87276347
3846951248,350190.0,87276347,154715080,87276347,102099826,102099826
3845985454,350190.0,102099826,154715080,87276347,102099826,87276347
3845851181,350190.0,87276347,102099826,87276347,102099826,154715080
3845600049,350190.0,102099826,87276347,154715080,87276347,102099826
3845267330,350190.0,154715080,102099826,102099826,87276347,87276347
3845065434,350190.0,154715080,87276347,102099826,87276347,102099826
3841621187,350190.0,154715080,87276347,87276347,102099826,102099826
3780675922,350190.0,87276347,102099826,87276347,102099826,154715080
3732580015,350190.0,102099826,87276347,87276347,102099826,154715080
3724952736,350190.0,154715080,87276347,87276347,102099826,102099826
3724771450,350190.0,87276347,102099826,154715080,102099826,87276347
3679145662,350190.0,87276347,102099826,87276347,102099826,154715080
3674500189,350190.0,132309493,154715080,102099826,102099826,154715080
3674399684,350190.0,102099826,154715080,132309493,102099826,154715080
3674318913,350190.0,154715080,154715080,102099826,102099826,132309493
3674209274,350190.0,102099826,154715080,102099826,132309493,154715080
3674136979,350190.0,102099826,154715080,102099826,132309493,154715080
3669457967,350190.0,154715080,132309493,102099826,154715080,102099826
3569242485,350190.0,154715080,132309493,154715080,102099826,102099826
3568956712,350190.0,154715080,102099826,132309493,102099826,154715080
3474258030,350190.0,245373129,102099826,102099826,132309493,245373129
3352464853,350190.0,126417273,102099826,126417273,102099826,112377459
3103669471,350190.0,102099826,91369376,102099826,91369376,112377459
3103515457,350190.0,112377459,102099826,91369376,91369376,102099826
2925450543,350190.0,142139318,142139318,112377459,89871557,89871557
2739434764,350190.0,89871557,85805514,89871557,132309493,85805514
2390864138,350190.0,111034589,111034589,102099826,89871557,89871557
2287621764,350190.0,132309493,111034589,102099826,111034589,102099826
2287370327,350190.0,102099826,132309493,111034589,102099826,111034589
2222355697,350190.0,89871557,102099826,89871557,132309493,102099826
1990065860,350190.0,89871557,102099826,89871557,132309493,102099826
1916097965,24.0,101208242,102500941,101460882,81481903,100471531
1915917704,24.0,101240880,81481903,101460882,100471531,101208242
1918057836,2413439.0,121052479,89268488,108383863,111034589,108383863
1917876368,2413439.0,101525357,89268488,121052479,111034589,108383863
1885547718,350190.0,21289303,21289303,102099826,89871557,89871557
5369524834,7849151.0,142139318,363724571,93616251,177085220,89871557
5369447960,7849151.0,142139318,363724571,177085220,89871557,93616251
5277226212,7681441.0,84429681,31818853,94786276,84429681,31818853
5293742855,674762.0,86975889,86975889,103126502,86975889,34726076
5291614322,674762.0,93119769,86975889,86975889,103126502,86975889
5434576438,7098928.0,113874152,127077041,104512126,127077041,113874152
5363768997,7098928.0,127077041,104512126,113874152,113874152,127077041
5362791781,7098928.0,127077041,104512126,113874152,113874152,127077041
5327412516,7098928.0,127077041,113874152,127077041,104512126,113874152
5327179526,7098928.0,127077041,127077041,104512126,113874152,113874152
5279256959,6209143.0,326327879,123787524,123787524,94049589,94049589
5279156691,6209143.0,326327879,123787524,123787524,94049589,94049589
5279062579,6209143.0,94049589,123787524,326327879,123787524,94049589
5275708727,6209166.0,129958758,129958758,207829314,182331313,207829314
