Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
vSa,1.25,0.51,83.1%,1.08,79.5,0.63,2016-09-12,2016-12-11
seb,1.26,0.59,77.5%,1.34,83.1,0.80,2016-09-12,2016-12-11
Spirit,1.20,0.78,69.6%,1.36,94.2,0.78,2016-09-12,2016-12-11
tacitus,0.97,0.78,73.9%,0.73,79.7,0.74,2016-09-12,2016-12-11
cheK,1.09,0.71,69.5%,1.12,84.3,0.69,2016-06-14,2016-09-12
MAKKA,1.03,0.69,65.5%,1.03,77.5,0.68,2016-06-14,2016-09-12
emode,1.00,0.73,68.9%,1.01,75.8,0.64,2016-06-14,2016-09-12
Dallas,1.06,0.70,68.9%,1.07,77.5,0.75,2016-06-14,2016-09-12
miKnutty,0.88,0.62,67.3%,0.69,57.4,0.56,2016-06-14,2016-09-12
Trainer,0.78,0.83,73.9%,0.53,58.0,0.61,2016-09-12,2016-12-11
LiFeCrusheR,0.89,0.72,56.0%,0.79,76.5,0.72,2016-09-12,2016-12-11
JoshRT,0.89,0.71,66.7%,0.83,66.5,0.56,2016-06-14,2016-09-12
Aidan,0.64,0.78,52.2%,0.46,66.7,0.43,2016-09-12,2016-12-11
cottonball,0.64,0.80,64.0%,0.23,64.3,0.52,2016-09-12,2016-12-11
s1,1.00,0.72,67.7%,1.01,74.7,0.67,2016-06-14,2016-09-12
LuL4,0.94,0.78,65.3%,1.00,74.4,0.62,2016-06-14,2016-09-12
zqkS,0.96,0.71,66.0%,1.02,68.2,0.63,2016-06-14,2016-09-12
dukeN,0.97,0.70,64.0%,1.02,69.9,0.66,2016-06-14,2016-09-12
KILLDREAM,1.10,0.71,69.6%,1.20,83.2,0.74,2016-06-14,2016-09-12
shen,0.63,0.80,64.0%,0.46,53.4,0.44,2016-09-12,2016-12-11
vanity,0.90,0.76,60.0%,0.86,76.3,0.60,2016-09-12,2016-12-11
WARDELL,1.22,0.54,82.0%,1.11,73.7,0.77,2016-06-14,2016-09-12
neptune,1.34,0.64,75.2%,1.52,94.7,0.82,2016-06-14,2016-09-12
vSa,1.08,0.61,73.7%,0.99,75.9,0.64,2016-06-14,2016-09-12
bee,1.22,0.58,76.7%,1.21,83.7,0.80,2016-06-14,2016-09-12
seb,1.16,0.71,75.7%,1.13,85.9,0.78,2016-06-14,2016-09-12
Drone,1.15,0.70,71.1%,1.28,78.8,0.79,2016-06-14,2016-09-12
sayonara,1.03,0.68,67.4%,1.09,73.2,0.69,2016-06-14,2016-09-12
Xizt,1.06,0.65,72.1%,0.95,76.5,0.66,2016-06-14,2016-09-12
GeT_RiGhT,1.14,0.68,69.8%,1.21,83.1,0.75,2016-06-14,2016-09-12
