Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
Aikas,1.14,0.63,74.7%,1.07,78.6,0.72,2018-03-06,2018-06-04
haflex,0.99,0.65,69.3%,0.89,69.8,0.64,2018-03-06,2018-06-04
pounh,1.18,0.64,72.9%,1.17,84.0,0.77,2018-03-06,2018-06-04
Butters,1.12,0.71,71.1%,1.22,84.1,0.70,2018-03-06,2018-06-04
Smyli,0.98,0.66,70.6%,0.84,68.2,0.60,2018-03-06,2018-06-04
JaCkz,1.17,0.69,72.4%,1.20,85.4,0.75,2018-03-06,2018-06-04
Samppa,1.01,0.70,70.3%,0.93,72.1,0.67,2018-03-06,2018-06-04
sNOBI,1.03,0.72,66.1%,1.11,78.3,0.72,2018-03-06,2018-06-04
doto,1.27,0.64,74.3%,1.35,85.5,0.82,2018-03-06,2018-06-04
RENE,0.69,0.73,59.1%,0.69,34.7,0.55,2018-03-06,2018-06-04
Nino,1.15,0.73,63.6%,1.55,84.3,0.68,2018-03-06,2018-06-04
IamSan,0.84,0.77,63.6%,0.83,66.1,0.55,2018-03-06,2018-06-04
pdy,0.66,0.86,63.6%,0.46,58.0,0.50,2018-03-06,2018-06-04
red,0.69,0.91,59.1%,0.63,61.7,0.36,2018-03-06,2018-06-04
Twixie,1.00,0.70,72.5%,0.94,70.6,0.66,2018-03-06,2018-06-04
dreamer,1.09,0.69,67.5%,1.18,79.2,0.75,2018-03-06,2018-06-04
markeloff,0.92,0.66,65.9%,0.84,64.2,0.60,2018-03-06,2018-06-04
wayLander,1.01,0.70,65.9%,1.06,75.3,0.68,2018-03-06,2018-06-04
B1ad3,0.85,0.75,63.3%,0.83,66.0,0.55,2018-03-06,2018-06-04
Lukki,1.07,0.67,72.0%,1.05,72.9,0.67,2018-03-06,2018-06-04
AnJ,1.19,0.63,73.4%,1.18,82.4,0.76,2018-03-06,2018-06-04
Console,1.07,0.67,70.8%,1.04,77.5,0.67,2018-03-06,2018-06-04
Inzta,0.93,0.68,68.2%,0.82,67.3,0.59,2018-03-06,2018-06-04
Ryxxo,1.02,0.66,67.7%,1.01,70.7,0.66,2018-03-06,2018-06-04
WorldEdit,1.11,0.67,71.2%,1.08,79.2,0.74,2018-03-06,2018-06-04
lollipop21k,1.16,0.69,72.6%,1.20,83.9,0.79,2018-03-06,2018-06-04
chrisJ,1.00,0.69,68.2%,1.00,71.4,0.65,2018-03-06,2018-06-04
ropz,1.10,0.62,72.4%,1.01,76.9,0.70,2018-03-06,2018-06-04
suNny,1.11,0.69,70.6%,1.15,81.3,0.73,2018-03-06,2018-06-04
oskar,1.13,0.66,68.7%,1.22,77.4,0.76,2018-03-06,2018-06-04
Blastinho,0.92,0.68,66.2%,0.91,62.6,0.58,2018-03-06,2018-06-04
KILLDREAM,1.23,0.67,68.7%,1.41,88.2,0.83,2018-03-06,2018-06-04
rmn,0.86,0.67,68.7%,0.71,56.5,0.55,2018-03-06,2018-06-04
alex,1.28,0.66,73.3%,1.32,92.8,0.85,2018-03-06,2018-06-04
arki,1.09,0.66,77.1%,1.10,75.4,0.58,2018-03-06,2018-06-04
STYKO,0.95,0.65,69.7%,0.81,67.9,0.58,2018-03-06,2018-06-04
queztone,0.90,0.77,64.2%,0.94,72.0,0.61,2018-03-06,2018-06-04
ZEDKO,0.96,0.73,68.4%,0.93,73.0,0.64,2018-03-06,2018-06-04
MonttY,0.93,0.75,69.8%,0.84,72.9,0.65,2018-03-06,2018-06-04
frozen,1.02,0.71,65.5%,1.08,77.1,0.70,2018-03-06,2018-06-04
DEV7L,0.91,0.72,64.4%,0.92,65.9,0.63,2018-03-06,2018-06-04
HUMANZ,0.93,0.69,67.9%,0.78,66.8,0.61,2018-03-06,2018-06-04
FlipiN,0.83,0.74,60.5%,0.75,67.3,0.55,2018-03-06,2018-06-04
ViztA,1.11,0.68,70.8%,1.14,81.5,0.70,2018-03-06,2018-06-04
Dodz,1.16,0.70,70.6%,1.31,82.5,0.75,2018-03-06,2018-06-04
sperr,1.11,0.67,70.1%,1.18,76.7,0.73,2018-03-06,2018-06-04
bitchiR,1.08,0.66,71.9%,1.02,74.5,0.73,2018-03-06,2018-06-04
MSL,0.98,0.72,68.2%,1.04,71.0,0.62,2018-03-06,2018-06-04
aizy,1.06,0.64,69.8%,1.03,74.5,0.67,2018-03-06,2018-06-04
mertz,1.08,0.64,70.4%,1.09,72.1,0.69,2018-03-06,2018-06-04
valde,1.12,0.64,72.8%,1.00,79.3,0.74,2018-03-06,2018-06-04
Kjaerbye,1.11,0.66,71.0%,1.12,79.7,0.72,2018-03-06,2018-06-04
shokz,1.03,0.69,65.8%,1.10,76.3,0.70,2018-03-06,2018-06-04
NaOw,1.14,0.75,67.0%,1.33,85.9,0.77,2018-03-06,2018-06-04
Niiso,0.33,0.94,35.3%,0.13,55.4,0.29,2018-03-06,2018-06-04
f0xy,0.27,0.88,47.1%,0.13,27.8,0.18,2018-03-06,2018-06-04
Merca,0.92,0.94,52.9%,1.23,83.5,1.00,2018-03-06,2018-06-04
HighKitty,0.95,0.73,67.8%,0.90,71.1,0.68,2018-03-06,2018-06-04
rUFY,0.63,0.83,50.9%,0.61,61.2,0.47,2018-03-06,2018-06-04
fxy0,0.94,0.85,63.3%,0.87,80.8,0.73,2018-03-06,2018-06-04
xReal,0.60,0.92,48.3%,0.73,52.8,0.40,2018-03-06,2018-06-04
Jas_x,0.70,0.89,54.1%,0.73,69.9,0.53,2018-03-06,2018-06-04
maou,0.92,0.76,68.6%,0.87,72.8,0.61,2018-03-06,2018-06-04
ARSENY,0.87,0.69,67.4%,0.70,64.1,0.56,2018-03-06,2018-06-04
Polt,1.14,0.64,68.5%,1.22,76.4,0.78,2018-03-06,2018-06-04
Perfecto,1.09,0.68,72.6%,1.02,79.6,0.71,2018-03-06,2018-06-04
TRAVIS,1.13,0.68,67.2%,1.29,82.3,0.73,2018-03-06,2018-06-04
Koshak,1.05,0.71,69.6%,1.12,77.8,0.67,2018-03-06,2018-06-04
blitzeN,0.78,0.88,56.1%,0.78,65.9,0.61,2018-03-06,2018-06-04
zlynx,0.91,0.73,65.7%,0.93,65.4,0.64,2018-03-06,2018-06-04
RIZZZ,1.07,0.69,72.4%,1.02,78.4,0.68,2018-03-06,2018-06-04
stadodo,0.88,0.71,68.7%,0.84,62.7,0.57,2018-03-06,2018-06-04
JUST,0.97,0.75,68.7%,0.92,75.1,0.66,2018-03-06,2018-06-04
pr,1.04,0.74,67.9%,1.04,79.9,0.74,2018-03-06,2018-06-04
sh1ro,1.18,0.66,72.9%,1.22,79.4,0.79,2018-03-06,2018-06-04
nafany,1.06,0.77,67.6%,1.18,80.6,0.75,2018-03-06,2018-06-04
aNsavage,0.93,0.72,67.0%,0.85,70.2,0.61,2018-03-06,2018-06-04
KlyDeep,1.15,0.70,73.2%,1.13,84.1,0.78,2018-03-06,2018-06-04
eQuake,0.89,0.71,68.3%,0.81,64.1,0.58,2018-03-06,2018-06-04
cajunb,1.06,0.65,71.4%,0.98,74.6,0.69,2018-03-06,2018-06-04
k0nfig,1.15,0.72,69.1%,1.29,84.2,0.79,2018-03-06,2018-06-04
gade,1.00,0.67,69.9%,0.97,70.4,0.62,2018-03-06,2018-06-04
ShahZaM,1.13,0.64,71.4%,1.15,75.1,0.73,2018-03-06,2018-06-04
stanislaw,0.99,0.64,71.1%,0.87,69.9,0.59,2018-03-06,2018-06-04
mds,1.03,0.69,69.2%,1.03,72.7,0.68,2018-03-06,2018-06-04
hitMouse,1.01,0.65,69.1%,0.95,70.4,0.63,2018-03-06,2018-06-04
ROBO,1.09,0.67,71.6%,1.05,77.8,0.71,2018-03-06,2018-06-04
KrizzeN,1.09,0.65,72.0%,1.04,76.4,0.69,2018-03-06,2018-06-04
qikert,1.17,0.66,73.4%,1.19,81.9,0.75,2018-03-06,2018-06-04
dimasick,1.09,0.67,69.9%,1.09,78.8,0.72,2018-03-06,2018-06-04
buster,1.12,0.62,73.3%,1.07,75.6,0.70,2018-03-06,2018-06-04
Jame,1.12,0.58,72.3%,1.11,70.5,0.68,2018-03-06,2018-06-04
roman,0.98,0.68,68.4%,0.93,70.4,0.62,2018-03-06,2018-06-04
fAst,1.11,0.74,69.2%,1.22,83.8,0.76,2018-03-06,2018-06-04
dapr,1.11,0.65,71.7%,1.09,79.9,0.72,2018-03-06,2018-06-04
Relyks,1.05,0.65,70.2%,1.00,73.0,0.68,2018-03-06,2018-06-04
dazzLe,1.13,0.71,70.5%,1.24,83.6,0.72,2018-03-06,2018-06-04
Ace,1.05,0.62,70.6%,1.02,68.6,0.66,2018-03-06,2018-06-04
yay,1.09,0.71,69.8%,1.17,78.3,0.72,2018-03-06,2018-06-04
dephh,1.12,0.69,71.3%,1.18,80.1,0.72,2018-03-06,2018-06-04
ANDROID,1.11,0.64,72.4%,1.05,78.3,0.73,2018-03-06,2018-06-04
ptr,1.08,0.63,70.5%,1.08,70.6,0.69,2018-03-06,2018-06-04
Flarich,1.11,0.64,70.6%,1.08,78.5,0.73,2018-03-06,2018-06-04
AiyvaN,1.12,0.65,70.0%,1.14,75.2,0.74,2018-03-06,2018-06-04
def,0.89,0.69,69.4%,0.77,65.3,0.54,2018-03-06,2018-06-04
kenzor,1.08,0.71,70.8%,1.10,78.3,0.72,2018-03-06,2018-06-04
svyat,0.93,0.69,66.8%,0.88,67.8,0.58,2018-03-06,2018-06-04
Slemmy,0.87,0.66,69.1%,0.68,59.7,0.52,2018-03-06,2018-06-04
moose,1.10,0.63,72.1%,1.03,76.2,0.73,2018-03-06,2018-06-04
speed4k,1.04,0.74,68.7%,1.09,79.4,0.69,2018-03-06,2018-06-04
CHEHOL,0.99,0.75,66.0%,1.05,74.3,0.70,2018-03-06,2018-06-04
minse,1.01,0.68,68.5%,0.95,74.8,0.65,2018-03-06,2018-06-04
Leo,1.00,0.70,65.0%,1.13,69.8,0.67,2018-03-06,2018-06-04
ISSAA,1.14,0.64,73.4%,1.12,79.0,0.75,2018-03-06,2018-06-04
bondik,1.04,0.63,72.9%,0.90,72.5,0.64,2018-03-06,2018-06-04
ANGE1,1.04,0.73,67.1%,1.16,78.2,0.67,2018-03-06,2018-06-04
spat1ch,0.93,0.65,62.5%,0.89,65.2,0.64,2018-03-06,2018-06-04
Heyz1ng,1.08,0.75,68.0%,1.29,81.6,0.68,2018-03-06,2018-06-04
iDISBALANCE,1.05,0.76,68.5%,1.15,79.8,0.71,2018-03-06,2018-06-04
la3euka,0.96,0.74,66.0%,0.98,73.3,0.68,2018-03-06,2018-06-04
interz,0.91,0.69,67.8%,0.77,65.6,0.64,2018-03-06,2018-06-04
DeadFox,0.98,0.66,69.9%,0.94,68.6,0.60,2018-03-06,2018-06-04
woxic,1.24,0.62,72.1%,1.34,82.1,0.82,2018-03-06,2018-06-04
coldzera,1.13,0.65,73.6%,1.06,77.5,0.75,2018-03-06,2018-06-04
fer,1.08,0.72,69.8%,1.17,81.4,0.70,2018-03-06,2018-06-04
KAPARZO,0.78,0.73,58.7%,0.68,57.6,0.52,2018-03-06,2018-06-04
AJTT,0.81,0.75,61.5%,0.85,59.1,0.49,2018-03-06,2018-06-04
Wantyyy,0.88,0.77,53.8%,1.01,74.9,0.60,2018-03-06,2018-06-04
fazen,0.94,0.76,63.5%,0.99,72.1,0.68,2018-03-06,2018-06-04
Blogg1s,0.79,0.80,61.5%,0.79,63.9,0.56,2018-03-06,2018-06-04
FalleN,1.06,0.61,70.2%,1.02,69.6,0.68,2018-03-06,2018-06-04
boltz,1.01,0.65,71.1%,0.89,73.9,0.63,2018-03-06,2018-06-04
sdy,1.17,0.62,74.6%,1.09,80.0,0.73,2018-03-06,2018-06-04
S0tF1k,0.98,0.68,69.6%,0.92,69.8,0.63,2018-03-06,2018-06-04
SicK,1.12,0.65,72.6%,1.09,78.2,0.72,2018-03-06,2018-06-04
vice,1.10,0.66,73.8%,1.03,76.9,0.69,2018-03-06,2018-06-04
cadiaN,1.14,0.63,72.1%,1.19,75.6,0.73,2018-03-06,2018-06-04
Hiko,1.05,0.61,72.7%,0.90,72.1,0.66,2018-03-06,2018-06-04
gMd,1.03,0.69,71.3%,1.06,70.5,0.64,2018-03-06,2018-06-04
COLDYY1,1.19,0.62,74.4%,1.12,81.2,0.75,2018-03-06,2018-06-04
Dima,1.07,0.71,71.1%,1.15,76.1,0.68,2018-03-06,2018-06-04
Furlan,1.05,0.70,69.6%,1.08,76.1,0.67,2018-03-06,2018-06-04
GruBy,1.08,0.68,70.6%,1.05,79.6,0.70,2018-03-06,2018-06-04
phr,1.01,0.69,69.7%,0.94,73.6,0.66,2018-03-06,2018-06-04
snatchie,1.06,0.70,67.2%,1.16,73.1,0.72,2018-03-06,2018-06-04
TOAO,1.00,0.68,68.9%,0.98,70.3,0.64,2018-03-06,2018-06-04
capseN,0.80,0.79,58.0%,0.82,62.9,0.59,2018-03-06,2018-06-04
daxen,0.74,0.86,61.1%,0.91,56.6,0.50,2018-03-06,2018-06-04
leckr,0.66,0.78,51.4%,0.67,52.9,0.47,2018-03-06,2018-06-04
kinzo,0.94,0.69,61.1%,0.81,75.7,0.64,2018-03-06,2018-06-04
emagine,1.02,0.66,69.7%,0.98,70.8,0.66,2018-03-06,2018-06-04
Hatz,1.23,0.64,73.8%,1.31,84.1,0.78,2018-03-06,2018-06-04
Liazz,1.28,0.58,76.0%,1.24,88.4,0.79,2018-03-06,2018-06-04
aliStair,0.99,0.67,69.8%,0.97,68.4,0.62,2018-03-06,2018-06-04
Havoc,1.07,0.50,83.3%,0.69,56.8,0.61,2018-03-06,2018-06-04
deStiny,1.00,0.78,66.7%,1.11,79.9,0.66,2018-03-06,2018-06-04
topguN,1.75,0.39,77.8%,1.94,99.1,1.06,2018-03-06,2018-06-04
INSANITY,1.59,0.56,83.3%,1.63,97.2,1.06,2018-03-06,2018-06-04
Sico,1.21,0.60,73.1%,1.22,81.3,0.77,2018-03-06,2018-06-04
MAXX.,0.90,0.79,63.9%,0.97,68.1,0.61,2018-03-06,2018-06-04
HaZR,1.02,0.75,68.5%,1.07,75.2,0.71,2018-03-06,2018-06-04
kyoto,1.04,0.65,70.3%,0.92,73.5,0.69,2018-03-06,2018-06-04
sonic,0.93,0.71,66.2%,0.87,72.8,0.63,2018-03-06,2018-06-04
InfrequeNt,1.00,0.69,69.2%,1.04,70.0,0.64,2018-03-06,2018-06-04
Bl4ckiice,1.05,0.69,68.4%,1.09,79.9,0.70,2018-03-06,2018-06-04
GMAN,0.89,0.71,66.9%,0.88,62.3,0.59,2018-03-06,2018-06-04
Smiley,0.84,0.75,68.3%,0.62,64.3,0.54,2018-03-06,2018-06-04
floppy,1.05,0.72,68.6%,1.09,82.3,0.71,2018-03-06,2018-06-04
BOOBIE,0.89,0.81,69.9%,1.03,60.9,0.63,2018-03-06,2018-06-04
mizu,0.91,0.74,65.3%,0.94,70.9,0.58,2018-03-06,2018-06-04
nitr0,1.05,0.63,71.4%,1.02,69.2,0.64,2018-03-06,2018-06-04
NAF,1.13,0.63,72.7%,1.08,81.4,0.70,2018-03-06,2018-06-04
EliGE,1.19,0.68,72.3%,1.28,84.7,0.76,2018-03-06,2018-06-04
Twistzz,1.17,0.61,74.1%,1.11,78.2,0.76,2018-03-06,2018-06-04
Noktse,0.97,0.68,66.9%,0.96,68.7,0.63,2018-03-06,2018-06-04
1962,1.05,0.73,68.0%,1.17,76.2,0.72,2018-03-06,2018-06-04
nbl,1.03,0.72,70.1%,1.01,75.3,0.70,2018-03-06,2018-06-04
NikoM,1.10,0.69,70.2%,1.11,82.1,0.73,2018-03-06,2018-06-04
JoshRT,0.84,0.80,67.7%,0.77,67.1,0.51,2018-03-06,2018-06-04
mahone,0.88,0.70,71.9%,0.70,53.6,0.58,2018-03-06,2018-06-04
richie,1.06,0.78,64.6%,1.37,73.0,0.73,2018-03-06,2018-06-04
vberg,0.76,0.80,57.3%,0.73,64.7,0.53,2018-03-06,2018-06-04
hero,0.90,0.80,66.7%,0.85,71.6,0.61,2018-03-06,2018-06-04
Straka,0.99,0.70,67.0%,0.99,74.5,0.65,2018-03-06,2018-06-04
TACO,0.94,0.68,67.4%,0.92,65.1,0.61,2018-03-06,2018-06-04
Xtinct,0.98,0.70,67.6%,0.97,71.5,0.65,2018-03-06,2018-06-04
Kaotik,1.09,0.74,66.8%,1.23,82.8,0.76,2018-03-06,2018-06-04
apocdud,0.89,0.74,64.9%,0.88,71.9,0.58,2018-03-06,2018-06-04
majestic,0.85,0.71,65.1%,0.73,62.1,0.57,2018-03-06,2018-06-04
bld,1.11,0.68,69.6%,1.15,80.9,0.73,2018-03-06,2018-06-04
zqkS,1.15,0.60,72.9%,1.17,75.6,0.71,2018-03-06,2018-06-04
xand,1.18,0.69,72.9%,1.21,86.8,0.78,2018-03-06,2018-06-04
Tuurtle,1.03,0.74,69.3%,1.08,78.8,0.69,2018-03-06,2018-06-04
kaiG,1.01,0.72,67.9%,1.01,75.2,0.69,2018-03-06,2018-06-04
LeoGOD,1.03,0.70,69.4%,1.02,77.1,0.68,2018-03-06,2018-06-04
WOOD7,0.94,0.72,67.7%,0.88,71.6,0.62,2018-03-06,2018-06-04
kenshex,0.96,0.74,63.4%,1.08,68.9,0.69,2018-03-06,2018-06-04
dukeN,1.01,0.68,69.0%,0.98,71.2,0.66,2018-03-06,2018-06-04
delboNi,1.03,0.64,70.7%,0.92,71.7,0.66,2018-03-06,2018-06-04
tucks,1.09,0.67,72.5%,1.06,77.5,0.69,2018-03-06,2018-06-04
Texta,1.23,0.69,74.5%,1.36,89.3,0.79,2018-03-06,2018-06-04
segalla,1.03,0.71,69.6%,0.99,77.6,0.69,2018-03-06,2018-06-04
kNs,0.85,0.76,64.6%,0.82,66.7,0.53,2018-03-06,2018-06-04
FATAL,1.00,0.73,67.5%,1.01,75.9,0.68,2018-03-06,2018-06-04
tge,1.14,0.68,73.0%,1.09,82.7,0.76,2018-03-06,2018-06-04
vhz,1.00,0.69,68.0%,1.02,68.9,0.66,2018-03-06,2018-06-04
sterling,1.09,0.58,70.3%,1.02,68.2,0.72,2018-03-06,2018-06-04
flickz,1.13,0.66,71.3%,1.13,82.7,0.73,2018-03-06,2018-06-04
mattcd,1.29,0.60,75.8%,1.37,78.4,0.84,2018-03-06,2018-06-04
konii,1.20,0.62,76.7%,1.18,78.1,0.74,2018-03-06,2018-06-04
gotz,0.99,0.70,66.9%,1.03,70.9,0.65,2018-03-06,2018-06-04
JD,0.90,0.78,67.1%,0.92,71.1,0.59,2018-03-06,2018-06-04
YetiBacon,0.82,0.80,65.3%,0.73,67.5,0.56,2018-03-06,2018-06-04
malta,1.13,0.65,72.9%,1.13,79.6,0.71,2018-03-06,2018-06-04
willyKS,0.97,0.69,66.9%,0.96,68.0,0.64,2018-03-06,2018-06-04
DavCost,1.10,0.63,71.2%,1.10,72.3,0.69,2018-03-06,2018-06-04
Stewie2K,1.06,0.68,69.1%,1.10,76.3,0.68,2018-03-06,2018-06-04
VladY,0.83,0.70,68.0%,0.65,60.0,0.51,2018-03-06,2018-06-04
MusambaN1,0.85,0.70,64.1%,0.65,64.8,0.59,2018-03-06,2018-06-04
Slice,0.95,0.70,69.9%,0.90,68.5,0.60,2018-06-04,2018-09-02
y0d0,1.22,0.76,73.5%,1.36,89.3,0.82,2018-06-04,2018-09-02
p4v,0.87,0.86,63.3%,1.02,62.8,0.63,2018-06-04,2018-09-02
SunDead,0.97,0.82,65.3%,1.23,74.6,0.65,2018-06-04,2018-09-02
Fantak,0.89,0.82,69.4%,0.88,70.3,0.63,2018-06-04,2018-09-02
kden,0.86,0.80,65.2%,0.74,80.8,0.59,2018-06-04,2018-09-02
cyr,0.87,0.85,58.7%,0.97,72.7,0.74,2018-06-04,2018-09-02
lrz,0.81,0.65,57.7%,0.65,63.2,0.54,2018-06-04,2018-09-02
din0,0.84,0.85,63.5%,0.70,76.1,0.67,2018-06-04,2018-09-02
invul,0.94,0.83,67.3%,0.95,82.0,0.67,2018-06-04,2018-09-02
pbf1,0.92,0.71,63.5%,0.95,65.1,0.63,2018-06-04,2018-09-02
gut0,0.78,0.73,57.7%,0.90,53.0,0.54,2018-06-04,2018-09-02
burd,0.44,0.85,41.3%,0.37,48.3,0.37,2018-06-04,2018-09-02
awverthinkeR,0.58,0.90,49.0%,0.58,56.4,0.45,2018-06-04,2018-09-02
krypt,0.62,0.82,60.0%,0.58,56.3,0.33,2018-03-06,2018-06-04
TheWorst,0.81,0.76,57.8%,0.96,59.3,0.53,2018-03-06,2018-06-04
Valbard,0.75,0.82,57.8%,0.79,65.0,0.56,2018-03-06,2018-06-04
Loai,1.13,0.71,71.1%,0.86,90.6,0.89,2018-03-06,2018-06-04
Gux,0.84,0.72,62.7%,0.85,64.3,0.57,2018-06-04,2018-09-02
Juggernaut,0.78,0.92,58.3%,1.02,58.3,0.58,2018-03-06,2018-06-04
KaDaZ,0.69,0.83,62.5%,0.65,54.9,0.50,2018-06-04,2018-09-02
SileNt,1.02,0.68,69.1%,0.99,73.2,0.65,2018-03-06,2018-06-04
Zellsis,1.09,0.68,70.5%,1.07,79.3,0.72,2018-03-06,2018-06-04
Cooper-,1.07,0.64,69.0%,1.07,71.1,0.72,2018-03-06,2018-06-04
Scottiyio,1.04,0.76,69.3%,1.11,75.6,0.69,2018-03-06,2018-06-04
Noxio,1.02,0.64,71.3%,0.91,66.0,0.64,2018-03-06,2018-06-04
Swahn,1.37,0.57,79.2%,1.43,81.6,0.84,2018-03-06,2018-06-04
Shakezullah,1.05,0.70,71.3%,0.98,77.4,0.65,2018-03-06,2018-06-04
optimus,1.03,0.64,70.3%,0.83,70.0,0.68,2018-03-06,2018-06-04
freakazoid,1.07,0.70,69.5%,1.14,78.9,0.71,2018-03-06,2018-06-04
ryann,0.99,0.71,68.8%,0.95,71.1,0.64,2018-03-06,2018-06-04
Lyrixe,0.88,0.85,60.4%,0.95,83.6,0.65,2018-06-04,2018-09-02
rAre,1.01,0.76,67.1%,1.16,68.7,0.70,2018-03-06,2018-06-04
Ebeee,0.95,0.73,58.6%,1.00,77.4,0.64,2018-03-06,2018-06-04
fr1,1.00,0.70,67.1%,0.98,72.1,0.67,2018-03-06,2018-06-04
Cypez,1.02,0.71,65.7%,1.01,76.1,0.69,2018-03-06,2018-06-04
y0d0,1.02,0.69,72.9%,0.82,81.1,0.63,2018-03-06,2018-06-04
p4v,0.91,0.74,65.7%,0.81,71.4,0.67,2018-03-06,2018-06-04
SunDead,1.72,0.61,77.1%,1.99,116.8,1.13,2018-03-06,2018-06-04
Fantak,1.10,0.73,68.6%,1.25,79.1,0.74,2018-03-06,2018-06-04
awverthinkeR,0.77,0.71,62.9%,0.79,52.0,0.49,2018-03-06,2018-06-04
Pogba,0.99,0.76,71.0%,0.89,74.5,0.70,2018-03-06,2018-06-04
RayaN,0.41,0.88,41.7%,0.39,43.2,0.33,2018-06-04,2018-09-02
JOXY,0.69,0.87,63.0%,0.75,59.1,0.46,2018-06-04,2018-09-02
Risky,1.04,0.78,65.2%,0.94,82.5,0.87,2018-06-04,2018-09-02
iRONMAN,0.67,0.85,51.6%,0.68,60.9,0.45,2018-03-06,2018-06-04
sherv,0.92,0.80,62.6%,0.87,74.8,0.71,2018-03-06,2018-06-04
btk,0.46,0.86,41.9%,0.42,40.3,0.37,2018-03-06,2018-06-04
BooMie,0.98,0.71,68.7%,0.91,72.0,0.62,2018-03-06,2018-06-04
Arbiter,1.05,0.80,67.2%,1.18,83.0,0.75,2018-03-06,2018-06-04
sadeNNN,0.66,0.83,56.5%,0.53,61.8,0.41,2018-06-04,2018-09-02
a1og,0.63,0.89,52.2%,0.53,67.2,0.48,2018-06-04,2018-09-02
RiSk,1.07,0.49,77.8%,0.78,65.6,0.53,2018-03-06,2018-06-04
Matzera,1.20,0.56,73.3%,1.06,79.9,0.78,2018-03-06,2018-06-04
havoK,1.36,0.60,68.9%,1.64,93.8,0.87,2018-03-06,2018-06-04
Grim,0.98,0.74,67.4%,0.99,73.2,0.66,2018-03-06,2018-06-04
mitch,1.05,0.71,67.5%,1.08,78.5,0.69,2018-03-06,2018-06-04
Voltage,0.87,0.69,64.9%,0.83,61.5,0.56,2018-03-06,2018-06-04
Fadey,0.93,0.78,65.7%,1.02,73.4,0.64,2018-03-06,2018-06-04
Sonic,1.16,0.65,71.8%,1.21,80.0,0.77,2018-03-06,2018-06-04
Detrony,0.99,0.70,68.9%,0.99,72.7,0.65,2018-03-06,2018-06-04
JT,1.02,0.71,68.7%,1.04,77.0,0.67,2018-03-06,2018-06-04
ELUSIVE,0.91,0.66,68.5%,0.77,64.9,0.59,2018-03-06,2018-06-04
a2z,0.88,0.70,64.2%,0.84,63.9,0.60,2018-03-06,2018-06-04
roca,0.85,0.80,59.0%,0.93,69.9,0.60,2018-03-06,2018-06-04
luko,1.09,0.63,83.3%,0.90,65.2,0.67,2018-06-04,2018-09-02
Fraged,1.02,0.67,70.0%,0.99,69.7,0.70,2018-06-04,2018-09-02
Pechyn,1.09,0.73,83.3%,0.80,78.7,0.70,2018-06-04,2018-09-02
retrQ,1.07,0.72,71.8%,1.04,77.9,0.75,2018-03-06,2018-06-04
JackZ,0.75,0.91,53.3%,0.94,72.2,0.69,2018-03-06,2018-06-04
Hiki,0.95,0.76,67.2%,0.99,71.5,0.66,2018-03-06,2018-06-04
Kwong,0.78,0.89,66.7%,0.63,77.4,0.56,2018-03-06,2018-06-04
devastation,1.02,0.74,66.1%,1.09,76.2,0.72,2018-03-06,2018-06-04
benq1,0.80,0.73,60.0%,0.69,59.4,0.53,2018-06-04,2018-09-02
SHOCK,1.21,0.77,70.0%,1.30,95.4,0.83,2018-06-04,2018-09-02
P3PS,1.30,0.76,69.1%,1.55,98.4,0.88,2018-03-06,2018-06-04
Slice,1.10,0.60,77.8%,0.91,65.5,0.73,2018-03-06,2018-06-04
str1keR,1.13,0.78,69.6%,1.26,83.5,0.87,2018-06-04,2018-09-02
RiSk,0.95,0.67,69.1%,0.83,71.6,0.58,2018-06-04,2018-09-02
Matzera,1.31,0.63,77.9%,1.22,94.8,0.85,2018-06-04,2018-09-02
WHitE,1.19,0.76,62.0%,1.50,80.8,0.82,2018-06-04,2018-09-02
crazyface,1.66,0.67,70.4%,1.79,117.9,1.26,2018-06-04,2018-09-02
Sayoko,0.62,0.78,66.7%,0.40,40.4,0.41,2018-06-04,2018-09-02
rigoN,1.06,0.79,65.9%,1.18,83.2,0.78,2018-06-04,2018-09-02
shaney,1.00,0.69,68.2%,0.90,72.3,0.66,2018-06-04,2018-09-02
ZEN,1.13,0.65,73.3%,1.04,82.5,0.72,2018-06-04,2018-09-02
Naimres,0.78,0.78,51.9%,1.21,63.9,0.44,2018-06-04,2018-09-02
RaiNy,0.74,0.78,59.3%,0.65,62.3,0.48,2018-06-04,2018-09-02
Fuks,1.07,0.69,71.6%,0.93,78.6,0.75,2018-06-04,2018-09-02
GEOHYPE,0.82,0.83,58.3%,0.87,67.3,0.54,2018-06-04,2018-09-02
HOUNGOUNGAGNE,0.49,0.88,50.0%,0.33,50.5,0.35,2018-06-04,2018-09-02
bramz,0.65,0.90,52.5%,0.84,59.4,0.45,2018-06-04,2018-09-02
N4j,0.79,0.79,63.2%,0.67,70.2,0.57,2018-06-04,2018-09-02
Cryptic,0.88,0.78,71.6%,0.73,68.3,0.60,2018-06-04,2018-09-02
calamity,1.07,0.79,66.3%,1.26,86.4,0.75,2018-06-04,2018-09-02
n0name,0.81,0.80,62.1%,0.81,61.2,0.63,2018-06-04,2018-09-02
alfa,0.77,0.75,63.8%,0.68,59.8,0.48,2018-06-04,2018-09-02
Delpha,0.89,0.75,63.8%,0.97,67.0,0.62,2018-06-04,2018-09-02
