Name,KD,Wins,Losses,Winning_Percentage,Player_1,Player_2,Player_3,Player_4,Player_5,Start_Date,End_Date
Red Reserve,1.07,45,29,0.6081081081081081,RuStY,FREDDyFROG,Relaxa,hampus,bld,2017-03-11,2017-06-09
LDLC,0.95,26,36,0.41935483870967744,Maniac,ALEX,mistou,to1nou,Ex6TenZ,2017-03-11,2017-06-09
Vega Squadron,1.06,17,11,0.6071428571428571,jR,keshandr,chopper,mir,hutji,2017-03-11,2017-06-09
Masterminds,0.90,1,1,0.5,Nighthawk,RICHIE,Straxx,SkulL,apocdud,2017-03-11,2017-06-09
Dark Sided,1.00,20,16,0.5555555555555556,Sync,flickz,badger,DickStacy,Texta,2017-03-11,2017-06-09
TYLOO,1.25,79,19,0.8061224489795918,somebody,captainMo,HZ,DD,BnTeT,2017-03-11,2017-06-09
Skyfire,0.61,0,2,0.0,FaSHo,forge,Squishy,ECH0,ren,2017-03-11,2017-06-09
Flash,1.13,12,8,0.6,Summer,Kaze,Karsa,Attacker,LOVEYY,2017-03-11,2017-06-09
BOOT,0.96,6,7,0.46153846153846156,DeStRoYeR,Sa7,Monster,insanity,Tommy,2017-03-11,2017-06-09
T.O.T,0.81,2,6,0.25,Supreme,Ar,Cate,Tank,Franke19,2017-03-11,2017-06-09
AE,0.95,1,3,0.25,York,NathanD,LoveLyBaby,ChuckNii,FIOURN,2017-03-11,2017-06-09
CLG,1.07,48,34,0.5853658536585366,koosta,FNS,Rickeh,reltuC,Ethan,2017-03-11,2017-06-09
Ghost,0.96,15,23,0.39473684210526316,WARDELL,neptune,CONNOR93,seb,bee,2017-03-11,2017-06-09
Miami Flamingos,0.97,8,12,0.4,JonY BoY,guishorro,tutehen,sickLy,Proxure,2017-03-11,2017-06-09
CLG Academy,0.99,1,1,0.5,cardiac,djay,mcs,Char,aproto,2017-03-11,2017-06-09
Beacon,0.73,0,1,0.0,Berghy,iannn,ongline,floppy,tweiss,2017-03-11,2017-06-09
Guerrilla Tactics,0.89,1,3,0.25,JMZ,xCeeD,emins,retrQ,hades,2017-03-11,2017-06-09
Denial,0.98,14,17,0.45161290322580644,flowsicK,Xp3,anger,maxie,fejtZ,2017-03-11,2017-06-09
h00liGaNz,0.94,3,4,0.42857142857142855,uaeb,todor,GOLA,RENTHUS,flip,2017-03-11,2017-06-09
New4,1.00,32,29,0.5245901639344263,Jewelry,jackhan,Drea3er,0i,Mr.six,2017-03-11,2017-06-09
TQM,0.89,3,6,0.3333333333333333,krudeN,Noisia,sK,Dezibel,InJect,2017-03-11,2017-06-09
Funky Monkeys,0.87,9,19,0.32142857142857145,YDNA,waffe,HUGHMUNGUS,BL1TZ,yorimato,2017-03-11,2017-06-09
Nemiga,0.86,0,3,0.0,hitMouse,ROBO,roman,dERZKIY,CyberFocus,2017-03-11,2017-06-09
PENTA,1.11,66,27,0.7096774193548387,kRYSTAL,zehN,suNny,innocent,HS,2017-03-11,2017-06-09
Envy,0.99,34,35,0.4927536231884058,RpK,SIXER,Happy,xms,ScreaM,2017-03-11,2017-06-09
TQM,0.95,1,1,0.5,krudeN,Noisia,sK,Dezibel,InJect,2017-06-09,2017-09-07
Tricked,1.07,61,42,0.5922330097087378,AcilioN,HUNDEN,b0RUP,Friis,es3tag,2017-03-11,2017-06-09
