Date,Team1,Team2,Map,Team1_Win,Team2_Win
2016-08-29,GODSENT,Heroic,Train,1,0
2016-08-29,PRIDE,Preparation,Train,1,0
2016-08-29,PRIDE,Preparation,Mirage,0,1
2016-08-29,PRIDE,Preparation,Cobblestone,1,0
2016-08-29,FlipSid3,G2,Nuke,0,1
2016-08-29,G2,FlipSid3,Train,1,0
2016-08-30,Cloud9,Renegades,Mirage,1,0
2016-08-30,NRG,eUnited,Overpass,1,0
2016-08-30,Renegades,Cloud9,Mirage,0,1
2016-08-30,eUnited,NRG,Mirage,0,1
2016-08-30,CLG,Winterfox,Dust2,0,1
2016-08-30,TeamOne,TRS,Mirage,1,0
2016-08-30,TeamOne,TRS,Train,1,0
2016-08-28,Tengri,zARLANS,Mirage,1,0
2016-08-30,Remo Brave,ProGaming,Dust2,1,0
2016-08-28,Team123,Epsilon,Nuke,1,0
2016-08-30,Remo Brave,ProGaming,Mirage,1,0
2016-08-30,Liquid,SK,Cobblestone,1,0
2016-08-30,CLG,Winterfox,Cobblestone,0,1
2016-08-30,Liquid,SK,Mirage,1,0
2016-08-30,Born Of Fire,BOOT,Mirage,1,0
2016-08-30,AllGamers,VG.CyberZen,Cobblestone,0,1
2016-08-30,Energy Pacemaker,FIVE,Train,1,0
2016-08-30,New4,EHOME,Train,1,0
2016-08-30,FIVE,EHOME,Mirage,0,1
2016-08-30,AllGamers,BOOT,Cobblestone,1,0
2016-08-30,Energy Pacemaker,New4,Mirage,0,1
2016-08-30,Born Of Fire,VG.CyberZen,Dust2,1,0
2016-08-31,Born Of Fire,VG.CyberZen,Train,1,0
2016-08-31,Born Of Fire,VG.CyberZen,Cobblestone,0,1
2016-08-31,Immunity,Legacy,Overpass,1,0
2016-08-31,Portugal,Poland,Mirage,0,1
2016-08-31,Immunity,Legacy,Train,1,0
2016-08-31,Kazakhstan,Norway,Cache,1,0
2016-08-31,Spain,Sweden,Cache,0,1
2016-08-31,Germany,Finland,Cache,1,0
2016-08-31,AGG,MK,Overpass,0,1
2016-09-01,LGR,LowLandLions,Cache,0,1
2016-08-31,MK,AGG,Mirage,1,0
2016-08-31,Astralis,FaZe,Train,1,0
2016-08-31,Dignitas,Virtus.pro,Dust2,0,1
2016-08-31,Virtus.pro,Dignitas,Mirage,0,1
2016-08-30,Skyfire,Parallax,Cobblestone,0,1
2016-08-30,Skyfire,Parallax,Overpass,0,1
2016-09-01,LowLandLions,LGR,Dust2,0,1
2016-08-31,Escape,Epsilon,Cache,0,1
2016-08-31,Spirit,Millenium,Mirage,0,1
2016-08-31,Spirit,Millenium,Cache,0,1
2016-08-30,VG.CyberZen,AllGamers,Mirage,1,0
2016-09-01,LGR,LowLandLions,Cobblestone,1,0
2016-09-01,mousesports,NiP,Cobblestone,0,1
2016-09-01,OpTic,Echo Fox,Cache,0,1
2016-09-01,Echo Fox,OpTic,Dust2,1,0
2016-09-01,NRG,CLG,Mirage,1,0
2016-09-01,mousesports,NiP,Cache,0,1
2016-09-02,Immortals,NRG,Cobblestone,1,0
2016-08-31,ZeroGP,Overpowered,Cobblestone,1,0
2016-08-30,VG.CyberZen,AllGamers,Train,1,0
2016-09-02,TSM,OpTic,Cobblestone,0,1
2016-08-31,Overpowered,ZeroGP,Train,0,1
2016-08-30,Energy Pacemaker,EHOME,Cobblestone,0,1
2016-09-02,TSM,OpTic,Mirage,1,0
2016-08-31,Wizards,Space Soldiers,Nuke,1,0
2016-08-30,Energy Pacemaker,EHOME,Dust2,0,1
2016-08-30,onestop,AVANT,Train,1,0
2016-08-30,onestop,AVANT,Nuke,0,1
2016-09-02,OpTic,TSM,Train,1,0
2016-08-31,Space Soldiers,Wizards,Cobblestone,1,0
2016-08-30,France,Estonia,Mirage,1,0
2016-08-30,Denmark,Netherlands,Mirage,1,0
2016-08-30,Turkey,Russia,Cobblestone,0,1
2016-09-02,Renegades,Liquid,Cache,1,0
2016-08-31,Space Soldiers,Wizards,Cache,0,1
2016-08-30,Iceland,Belgium,Cache,0,1
2016-08-30,Epsilon,Gambit,Cobblestone,0,1
2016-08-30,Gambit,Epsilon,Mirage,1,0
2016-08-30,Space Soldiers,FaZe,Dust2,0,1
2016-08-30,Space Soldiers,FaZe,Train,0,1
2016-08-30,PRIDE,Spirit,Cobblestone,0,1
2016-08-30,PRIDE,Spirit,Mirage,0,1
2016-08-30,fnatic,HellRaisers,Cobblestone,1,0
2016-08-30,PENTA,ENCE,Mirage,0,1
2016-08-30,ENCE,PENTA,Cache,0,1
2016-08-30,PENTA,ENCE,Nuke,1,0
2016-09-02,Liquid,Renegades,Dust2,0,1
2016-08-31,ALTERNATE aTTaX,AGG,Nuke,1,0
2016-08-30,PRIDE,Escape,Mirage,0,1
2016-09-02,CLG,Synthetik,Cache,1,0
2016-08-31,AGG,ALTERNATE aTTaX,Dust2,0,1
2016-08-31,mousesports,G2,Cache,1,0
2016-08-31,G2,mousesports,Dust2,1,0
2016-09-01,SK,Renegades,Nuke,0,1
2016-09-01,SK,Renegades,Dust2,0,1
2016-09-01,Remo Brave,TeamOne,Dust2,1,0
2016-09-01,Remo Brave,TeamOne,Mirage,1,0
2016-09-01,NRG,Winterfox,Dust2,1,0
2016-09-01,NRG,Winterfox,Cobblestone,1,0
2016-08-30,AGG,DenDD,Train,0,1
2016-09-02,Synthetik,CLG,Cobblestone,0,1
2016-09-01,TRIDENT,Grinny Bankers,Cobblestone,0,1
2016-08-30,AGG,DenDD,Cache,1,0
2016-09-02,Denmark,France,Nuke,0,1
2016-09-01,TRIDENT,Grinny Bankers,Mirage,0,1
2016-08-30,AGG,DenDD,Mirage,1,0
2016-08-30,HellRaisers,fnatic,Cache,1,0
2016-08-30,Space Soldiers,Spirit,Cobblestone,1,0
2016-08-30,Space Soldiers,Spirit,Cache,1,0
2016-08-30,mousesports,Dignitas,Overpass,1,0
2016-08-30,mousesports,Dignitas,Dust2,0,1
2016-08-30,Dignitas,mousesports,Mirage,0,1
2016-08-30,FaZe,Astralis,Dust2,1,0
2016-08-31,Astralis,FaZe,Mirage,1,0
2016-08-31,Cloud9,eUnited,Overpass,1,0
2016-08-31,CLG,Selfless,Cobblestone,1,0
2016-08-31,eUnited,Cloud9,Mirage,0,1
2016-08-31,Selfless,CLG,Dust2,1,0
2016-08-31,Renegades,Immortals,Cobblestone,0,1
2016-08-31,NRG,SK,Dust2,0,1
2016-08-31,Immortals,Renegades,Cache,1,0
2016-08-31,EHOME,Born Of Fire,Mirage,0,1
2016-08-31,Born Of Fire,EHOME,Cobblestone,1,0
2016-08-31,NRG,SK,Cobblestone,0,1
2016-09-02,Stubborn,Infinity,Mirage,1,0
2016-09-01,Russia,Belgium,Cobblestone,0,1
2016-08-31,VG.CyberZen,New4,Overpass,1,0
2016-09-02,Infinity,Stubborn,Cache,0,1
2016-09-01,Netherlands,Estonia,Cache,1,0
2016-08-31,New4,VG.CyberZen,Mirage,1,0
2016-09-02,Poland,Kazakhstan,Train,0,1
2016-09-02,Energy,xTc,Cobblestone,0,1
2016-09-02,Energy,xTc,Train,0,1
2016-09-01,Turkey,Iceland,Mirage,1,0
2016-09-01,MK,Spirit,Mirage,1,0
2016-09-01,Spirit,MK,Overpass,0,1
2016-09-01,LGR,ENCE,Cache,0,1
2016-09-01,LGR,ENCE,Dust2,1,0
2016-09-01,ENCE,LGR,Train,0,1
2016-08-31,VG.CyberZen,New4,Train,1,0
2016-08-31,Athletico,Chiefs,Mirage,1,0
2016-08-31,Athletico,Chiefs,Train,0,0
2016-09-02,Sweden,Germany,Dust2,1,0
2016-09-01,Wizards,FaZe,Nuke,0,1
2016-08-31,VG.CyberZen,Born Of Fire,Mirage,1,0
2016-09-02,Norway,Portugal,Mirage,1,0
2016-09-02,Cloud9,ACE,Cobblestone,1,0
2016-09-02,Heroic,Winterfox,Cobblestone,1,0
2016-09-01,FaZe,Wizards,Mirage,1,0
2016-09-01,FlipSid3,Natus Vincere,Train,0,1
2016-09-02,Finland,Spain,Cache,1,0
2016-09-01,Immortals,Synthetik,Cobblestone,1,0
2016-09-01,Natus Vincere,FlipSid3,Overpass,1,0
2016-09-01,Preparation,PENTA,Cache,1,0
2016-09-01,PENTA,Preparation,Train,1,0
2016-09-01,PENTA,Preparation,Cobblestone,1,0
2016-09-02,Rulz,DreamRAR,Dust2,0,1
2016-09-02,Rulz,DreamRAR,Cache,0,1
2016-09-02,Spirit,PENTA,Cache,0,1
2016-09-02,PENTA,Spirit,Mirage,1,0
2016-09-02,Aperture,Damage Control,Train,1,0
2016-09-02,Damage Control,Aperture,Cache,0,1
2016-09-02,Selfless,Splyce,Cobblestone,1,0
2016-09-02,Rogue,Complexity,Overpass,1,0
2016-09-02,KoN Denmark,KoN Norway,Cache,0,1
2016-09-02,KoN Norway,KoN Finland,Cache,1,0
2016-09-02,CNB,paiN,Train,1,0
2016-09-02,paiN,CNB,Cobblestone,0,1
2016-09-02,PENTA,MK,Dust2,0,1
2016-09-02,MK,PENTA,Cache,1,0
2016-09-02,Bravado,xTc,Train,0,1
2016-09-02,Bravado,xTc,Cobblestone,1,0
2016-09-02,xTc,Bravado,Dust2,0,1
2016-09-02,KoN Sweden,KoN Norway,Overpass,1,0
